iter	Passed	Remaining
0	57	11518
1	90	8928
2	127	8391
3	174	8543
4	209	8151
5	242	7832
6	299	8260
7	338	8123
8	380	8074
9	421	8010
10	469	8062
11	543	8507
12	598	8602
13	635	8441
14	672	8289
15	708	8147
16	740	7970
17	774	7831
18	809	7708
19	844	7601
20	885	7550
21	930	7530
22	965	7431
23	1009	7404
24	1042	7295
25	1075	7195
26	1102	7066
27	1134	6969
28	1170	6900
29	1199	6797
30	1234	6727
31	1264	6639
32	1296	6558
33	1332	6505
34	1363	6427
35	1393	6346
36	1430	6301
37	1470	6269
38	1514	6253
39	1548	6194
40	1587	6155
41	1628	6125
42	1662	6068
43	1709	6061
44	1757	6052
45	1793	6003
46	1834	5970
47	1880	5953
48	1918	5910
49	1956	5868
50	2055	6005
51	2398	6827
52	2982	8270
53	3358	9079
54	3766	9929
55	4122	10600
56	4561	11442
57	4938	12091
58	5222	12480
59	5312	12396
60	5378	12255
61	5437	12102
62	5519	12002
63	5591	11882
64	5656	11748
65	5710	11593
66	5800	11514
67	5874	11404
68	5970	11334
69	6070	11272
70	6155	11183
71	6255	11121
72	6350	11047
73	6447	10977
74	6526	10877
75	6599	10767
76	6665	10647
77	6725	10519
78	6810	10431
79	6877	10315
80	6931	10182
81	6994	10065
82	7049	9937
83	7108	9816
84	7193	9731
85	7244	9603
86	7307	9491
87	7373	9383
88	7428	9265
89	7483	9146
90	7536	9027
91	7590	8910
92	7647	8799
93	7690	8672
94	7738	8553
95	7781	8430
96	7822	8306
97	7880	8202
98	7922	8082
99	7973	7973
100	8037	7877
101	8148	7829
102	8204	7726
103	8260	7624
104	8298	7508
105	8332	7389
106	8367	7272
107	8405	7160
108	8440	7046
109	8475	6934
110	8532	6841
111	8570	6734
112	8614	6632
113	8657	6531
114	8700	6430
115	8742	6330
116	8788	6234
117	8844	6146
118	8897	6056
119	8950	5967
120	9010	5882
121	9071	5799
122	9116	5706
123	9166	5618
124	9219	5531
125	9266	5442
126	9309	5351
127	9361	5265
128	9401	5174
129	9441	5084
130	9489	4998
131	9536	4912
132	9571	4821
133	9618	4737
134	9661	4651
135	9727	4577
136	9787	4500
137	9847	4424
138	9904	4346
139	9959	4268
140	10049	4205
141	10123	4135
142	10196	4064
143	10265	3991
144	10358	3929
145	10431	3858
146	10485	3780
147	10547	3706
148	10602	3629
149	10675	3558
150	10731	3482
151	10815	3415
152	10874	3340
153	10922	3262
154	10965	3183
155	11012	3106
156	11052	3026
157	11091	2948
158	11136	2871
159	11180	2795
160	11245	2723
161	11330	2657
162	11383	2584
163	11447	2512
164	11510	2441
165	11556	2367
166	11615	2295
167	11668	2222
168	11724	2150
169	11782	2079
170	11850	2009
171	11917	1940
172	11992	1871
173	12060	1802
174	12140	1734
175	12209	1664
176	12264	1593
177	12337	1524
178	12412	1456
179	13000	1444
180	13852	1454
181	14815	1465
182	15618	1450
183	15692	1364
184	15758	1277
185	15830	1191
186	15909	1106
187	15979	1019
188	16036	933
189	16103	847
190	16160	761
191	16222	675
192	16272	590
193	16307	504
194	16359	419
195	16413	334
196	16475	250
197	16540	167
198	16617	83
199	16691	0
